,funny,useful,review_id,text,business_id,ID_bus,stars,date,user_id,cool,polarity,subjectivity,food_sentiscore,food_total_business_score
39,1,0,DrftCOvq0Inf6fxUuuw55A,sports grill year would have gotten stars service terrific food above typical prices were fairly reasonable although upscale there vast amount seating that would allow watch virtually game comfort other than seating pretty much everything else changed last times been here service lousy downright apathetic there seemed shortage servers wait staff place they seemingly vanished times without trace worst part menu overhauled almost entirely previously filled with good stuff reasonable prices what theyve managed sports grill terms amazingly epic transformation completely destroy menu drop quality food tremendously somehow raise prices youre stuck with overpriced unappetizing sliders food that tastes dirty more their pizzas past were fantastic crap theyre serving nowadays reminds more generic frozen food aisle grocery store pizzanot even digiorno food tastes awful theyve audacity raises prices youre sitting there paying above prices food this place used fantastic evidently some genius decided that they could make more profit offering crappier quality higher prices buying theres much competition many other options this sort nonsense head zipps down road arenayeah standard food wont cost best casey jones grill where less somehow much better food service bottomline this place jumped shark completely whatever they going right them pretty much gone shame because this used fave mine after what witnessed there worth spending money time anymore,zvO-PJCpNk4fgAVUnExYAA,zvO-PJCpNk4fgAVUnExYAA,1,40504.31369212963,Fxl7aVVajcdo5cIBeE-PNA,0,0.04955908289241623,0.5046208112874779,0.00031635558367605187,0.00031635558367605187
43,0,1,Qx5Qvy1dZxfkZKlUmY10cg,exactly what kristopher said drunk pizza here hurry pizza here want good pizza dont want spend much money pizza here always inexpensive fast they honestly really just jonesing that easy slice then this good spot actually think their pizza quite taste being fast food crust isnt very thick which enjoy there isnt overload sauce cheese they warm have ready shortly side note there will likely place inside there very very tables,Nf1ZtgHwg0Mu5lOaJYgDGQ,Nf1ZtgHwg0Mu5lOaJYgDGQ,5,42163.85113425926,63RMC0LxibWFTlHOGgseGw,1,0.20313725490196077,0.5229901960784313,0.00031635558367605187,0.0009490667510281556
51,0,3,tWNa2MM7LQCutlWuCkYsfQ,nice atmosphere very nice presentation meal friendly staff food awful best very bland cardboard have party seated pizza last pizza came other groups came left before were even finished being served felt that others party wait served below food staff apologize comp pizza offered dessert forgot when they brought kabob they forgot cook oops good experience will recommend return clear wait staff were very kind gracious problem kitchen,jG1jcAeDw0pZTHCNC5kw_w,jG1jcAeDw0pZTHCNC5kw_w,1,42399.13229166667,LFedYw-RVICZ0uUJ0ZMj-g,0,0.24944444444444444,0.6020833333333333,0.0,0.01866497943688707
52,0,0,bQAiDh0EtPDiAi91Mdm70g,this pizza company great have this pizza since flavored crust sets them apart sign easy busy when went tonight flavored crust butter cheese with pepperoni howie bread think food poisoning sick from going here ever again,VqX3HPsZxuxsPKaQIU3Ehw,VqX3HPsZxuxsPKaQIU3Ehw,2,42399.150358796294,pZdNislHOFu6kIouUM2ROA,0,0.1547619047619048,0.6851190476190476,-0.00031635558367605187,0.00031635558367605187
54,1,1,p4oHTvWXvGD4HgU9RKXC4w,love bosco cute little down restaurant would imagine little cafes europe like their place pizzas here amazing wife ordered forget name they said their best seller obviously know because amazing mine good pizza made mine taste like crap like olives they serve small tray before your food olives this wasnt deal wife loved,5ykOWYZ44sUvu9qxD8rPeg,5ykOWYZ44sUvu9qxD8rPeg,5,41592.16721064815,N-Sy8I9byR2Q2gTI99nKxQ,0,0.2322649572649573,0.6222222222222222,0.0,0.034482758620689676
55,0,4,0zaugZ7JsjbyrVR_B8rN2g,look understand people dillude themselves into thinking restaurant thats contrarian food that magically tastes better dont wrong pizza here good great place dive which usually find place smelled like spray server think owner nice overly friendly food certainly fast bread good overall place fine getting great reviews simply because counter culture organic,5ykOWYZ44sUvu9qxD8rPeg,5ykOWYZ44sUvu9qxD8rPeg,3,41374.8196875,UCHYtntZpwUewE82YvHU4A,1,0.3458333333333333,0.5933673469387755,0.0009490667510281556,0.034482758620689676
58,0,1,YA7RdxNonbrxJwApR6Mbmg,huge garbanzo mediterranean restaurant with chipotle style ordering that previously occupied this space when yelp emailed about restaurant near excited similar concept taken place instead garbanzos customization pita bowl plate order from menu hummus plates pitas rice protein plates salads focaccia pizzas food just tasty fairly portioned ordered steak pita because seemed most well rounded choice wish came with more light garlicky tzatziki sauce ordered extra hummus side which covered sauce craving since work close this location absolutely back play with more combinations perfect ratio protein veggies pita hummus,ksZfCKQHYdCu0e8KbMuBDg,ksZfCKQHYdCu0e8KbMuBDg,4,42975.854537037034,esUXRi_bUflUmDO4tyw6RQ,1,0.33141025641025645,0.5243589743589744,0.00031635558367605187,0.0009490667510281556
60,0,2,NAYPCgJGdgPHDalo8Gm92A,have been wanting food pizza heaven since moved phoenix from east valley first experience good called order lady answered rude food supposed ready about that case guys gave brother piece pizza sample since were waiting long apparently there some confusion about order being pick delivery after called order food magically appeared sitting oven angry when into vegan delight anger subsided best vegan sausage vegan cheese have ever tasted husband fell love vegan menu embarrassed went there week that good picked same pizza nights later then dined waiter phenomenal like lady answers phones vegan starter veggies bread delish think called mediterranean medley next time husband picked vegan sandwiches veggie ball sandwich this world food fantastic they could just give phone answerer attitude adjustment this place would perfect,7eQoxWr9RzyCB9IFvqHUPA,7eQoxWr9RzyCB9IFvqHUPA,5,41875.95177083334,eyY0yiDvFdIhXrfDWv9k4g,1,0.2361111111111111,0.5004629629629629,0.00031635558367605187,0.03511546978804175
62,0,0,a_7krkNObj6w0-DrGgDQ_w,overpriced food this pizza doesnt worth there bunch different places with nice pizzas example parlor,cs1qJvnWUg_f8g020z_3PQ,cs1qJvnWUg_f8g020z_3PQ,3,43336.03402777778,wKQT4k3C6lil6pE809jzUw,0,0.3,0.5666666666666667,0.0,0.029737424865548902
64,0,0,BNuJmOWcGwFF9lFgnCyvAQ,very cozy restaurant with outside seating weekend nights energy awesome food pizza thin very generous with quality toppings price pizza size taste,jG1jcAeDw0pZTHCNC5kw_w,jG1jcAeDw0pZTHCNC5kw_w,4,40250.80515046296,VydTnov54HsZ2kBcKe0_rw,0,0.10800000000000001,0.635,0.00031635558367605187,0.01866497943688707
66,0,2,5_Mo9p6IJr9PKKeoId4IYg,like this place because right down road from apartment works well meeting place friends best part they have both vegan gluten free options this makes great when want gather with closest friends fall over food spectrum pizza good from chicago picky about pizza nothing ever good home town staple enjoy this place crust good airy only thing dont like that their thin crust true thin crust eyes like crispy thin crust still good crust pizza oily greasy weve pepperoni sausage pineapple pizza boyfriend wings they smelled good appeared taste good polished them weve their pizza dine carry really have complaints only other dislike that pizza good next morning judge pizza based taste cold leftovers love cold pizza this huge scoring point great little neighborhood spot that will continue visit,7eQoxWr9RzyCB9IFvqHUPA,7eQoxWr9RzyCB9IFvqHUPA,4,41302.08766203704,TXK-IK0Jiq_falq1TL0Uaw,0,0.25598781179138325,0.6392715419501133,0.0,0.03511546978804175
67,0,1,b8VfP6uaLO0ImVyVBwbREQ,this real find scottsdale great menu with creative delicious choices wood fired pizzas atmosphere authentic just back from trip italy food vibe took back totuscany highly recommended,5ykOWYZ44sUvu9qxD8rPeg,5ykOWYZ44sUvu9qxD8rPeg,5,41086.60362268519,3s8z0KWtRKO4umzdicmnyA,1,0.395,0.5425,0.0,0.034482758620689676
68,0,0,aw12RUwJpOZcjWzdERjyEg,came with best friend have slice surprise they have personalized pizza very traditional authentic italian pizza server named richard very efficient quick funny food knowledge perfect reminded that lifes always little better with this great restaurant this phoenix must richard make your dinning experience wonderful,cs1qJvnWUg_f8g020z_3PQ,cs1qJvnWUg_f8g020z_3PQ,5,41875.95119212963,1KllOz4FO09pvn8PgFwkoQ,0,0.44965277777777773,0.63125,0.00031635558367605187,0.029737424865548902
77,0,0,7EEtaJWn1ZbqIGj2PZN31w,looking amazing home cooked italian food valley then this place food simple amazing personally love eggplant with noodles their pizzas which stunning small place expect wait quality they accept phone orders call ahead,r5PLDU-4mSbde5XekTXSCA,r5PLDU-4mSbde5XekTXSCA,5,42176.42097222222,USo-V3V0Id-F-_KBomtTIw,0,0.2785714285714286,0.5938775510204082,0.00031635558367605187,0.03353369186966151
78,0,2,t1X4SfLLLXKNgGG43TMbiA,this place reminds italian delis back northeast they sell everything from sandwiches entrees desserts wine packaged pastas sauces tried cold sandwiches calzones pizzasall were terrific also tried pasta dishes although sauce decent pasta wasnt homemade cooked properly left more desired food dessert this place makes sells surprising that they wouldnt have homemade pasta they sell wine glass bottle they have special prices happy hour definitely check this place,r5PLDU-4mSbde5XekTXSCA,r5PLDU-4mSbde5XekTXSCA,4,41862.00439814815,CYtKqfxO78q8MN6HX2JnDg,2,0.1748917748917749,0.5216450216450217,0.0,0.03353369186966151
82,0,0,wqgiwHhuVY9Cdm2TjU6_3A,some best freshest italian food ever every bite scrumptious appreciated that menu simple straightforward many choices just enough have options pappardelle which perfect blend flavors melt your mouth freshly made pasta sonny pizza really appreciated fresh mozzarella perfect amount really refreshing food also came quickly they literally just whipped sent cant wait back,cs1qJvnWUg_f8g020z_3PQ,cs1qJvnWUg_f8g020z_3PQ,5,43045.9234375,V9xHeRz0yow26Dzmy_XsbQ,0,0.38055555555555554,0.4488095238095238,0.00031635558367605187,0.029737424865548902
85,1,1,z6BI7S8eYOsFnAn1BYRS-Q,were hurry bought prepared food from there saturday night january pepperoni pizza became violently stomach cramps then lost everything sunday certain that this stomach only food poisoning stomach college know difference super bowl sunday ruined have never eaten their prepared food never will shop there that location from austin know like whole foods this place terrible dont there ever,RrXlDMjW30v2KatCxOobdQ,RrXlDMjW30v2KatCxOobdQ,1,42037.70340277778,f7DcJDzDD3Rb5fmrx39_6g,0,-0.1753968253968254,0.7730158730158729,0.0,0.0009490667510281556
86,0,0,dDRyJ9rBlqSok84E7WhIKg,heard good this place airport little early decided partake while waited plane quite busy were seated quickly waiter promptly greeted took drink order when returned with drinks were ready order food ordered couple different pies pizza share came fairly quickly other missing waiter ryan quickly realized oversight addressed directly apologizing promising other quickly possible after minutes still hadnt arrived waiter told still working would take care couple minutes later delivered other also brought manager also apologize know that they would comp both pies unfortunate this mixup they handled directly graciously cant better than that pies drinks were delicious will definitely back next time phoenix area,0h5yI6np7weAVH0jsjHqPw,0h5yI6np7weAVH0jsjHqPw,5,42436.06864583334,pxdv8HfPsWq8mOebwbt6jQ,0,0.10928030303030302,0.44431818181818183,0.00031635558367605187,0.002847200253084467
94,2,3,5BVAFia0Bjhg9FlFYTA4rg,sure such high reviews other than friendly girl front counter this pretty mediocre there kind dirty plus cleaning products odor place there bussing tray sitting right next ordering counter whole time seats still crumbs them table some grease spots theres ambiance amenities pizza delivered plastic tray cheap plastic dishes eating paper styrofoam cups serve yourself drinks this isnt imaginative italian restaurant with good food table serviceand nice tables chairs cheap pizza place with vinyl booths windows with hand prints yourself silverware food well fine price there tons places that serve decent pizza these days granted this better pizza than dominos that doesnt much there decent amount cheese like quality ingredients particularly stood pale tasteless tomato chunks example didnt that this barros least much recommend,yvJqxVTO_qwRGLMtUrqzQw,yvJqxVTO_qwRGLMtUrqzQw,2,41327.26431712963,hkIJZTRZ0Lgy3UiU_J8FnA,1,0.16258503401360552,0.5602239229024942,0.0006327111673521037,0.002847200253084467
106,0,0,ektOuSt-QKop24njCqfgiQ,just food from here first time amazing just dont plan being healthy come here this purely authentic philly comfort food that missing ritas which isnt away loved this place much that with negative reviews here left wondering went same place first food through grubhub delivery actually much faster than predicted delivery time delivery person couldnt have been nicer only complaint that pizza cold thats beauty delivery that able remedy that pretty easily pizza closest real pizza that have here crust could have been crunchier delicious also loved that could just slice like make sure liked without being stuck with entire pretzels exactly like what philadelphia because delivery there minimum also ordered small cheesesteak that have because much person once whiz opted make your beef self respecting person with philly roots really gets chicken provolone which always preferred chesesteak cheese since havent sandwich cant comment amount meat will update this after have also excited they have roast pork sandwich another philly food cant imagine eating this often calories anytime feeling like indulging having some great comfort food sure coming here this will also where pizza love this place have philly ties think still enjoy this only problem never able enjoy food they serve elsewhere,Hpi9raHlFm6prTSzFHTurg,Hpi9raHlFm6prTSzFHTurg,5,41923.8246875,xEXQBoPjAoYYj9xdPx7nEA,0,0.229954954954955,0.5750750750750752,0.00031635558367605187,0.0034799114204365706
111,0,1,S8hfPNccXk8_RceIfyDwCg,this great spot taken here date reservation patio really pleased with seating dont usually perfer outdoor seating this restaurant best seats very gorgeous were seated within just minutes arriving atmosphere really warm inviting well staff really appreciate when welcomed immediately hostesses huge impact perception restaurant customer service they have food very good also they have good variety choices stuck simple yummy margarita pizza with fresh basil bruchetta appetizer drinks waitress attentive overly smothering which liked especially while date absolutely myself coming back here wether date with friends family,wUKzaS1MHg94RGM6z8u9mw,wUKzaS1MHg94RGM6z8u9mw,5,42068.076574074075,G13GyQG3jDeUkKqpmmddJQ,0,0.42764705882352944,0.6374789915966387,0.00031635558367605187,0.0031635558367605187
113,0,1,2m8XbIpGb1Jgxk_3bUHU1A,have amended this after most recent experience service food much better still recommend subway pizza anywhere else first only reason keep giving that within walking distance work more options that other cafe across street,jAO8qYbiYZNbmhK8Knr9Mg,jAO8qYbiYZNbmhK8Knr9Mg,4,43182.809583333335,bTMHWPKpYNvPX-ZtU7pzig,0,0.23214285714285715,0.494047619047619,0.00031635558367605187,0.0006327111673521037
114,0,0,3oshXwvoEdU5skMPNQRaew,went here friday night hearing from someone that great authentic mexican food seeing times that they received best margarita phoenix yelpers totally right when they service isnt very good this location very small waited least hour food outstanding then wouldnt really matter thats green corn tamale utterly spicey couldnt even taste beef taco boring just plain crispy taco shell like youd taco bell expected filibertos style taco shell most importantly most disappointing margarita times bought this place best margarita phoenix totally sucked strong think four places head with best margaritas tejas sidebar four peaks grande orange pizzaria give place stars cause rice good people love spicey food this place would probably satisfying,46hnat0aLao-qYWZkN9aBg,46hnat0aLao-qYWZkN9aBg,2,40941.05243055556,eDdhEiKla9GbljJ0X-bikQ,0,0.2635904761904762,0.566047619047619,0.00031635558367605187,0.0006327111673521037
116,0,2,39toKItojydUgPbBGNMGeg,seriously best pizza have ever favorites oreganos their margarita pizza their customized deep dish pizza super delicious however plan ahead because their pizza takes time cook look this place they make their food with extra love more than willing wait price eating their delicious food leave room their pizza cookies super super yummy,dUffgo9Lh_Vk9TLuFR5ywg,dUffgo9Lh_Vk9TLuFR5ywg,5,41468.996979166666,ubSobb7uwbVHj-bTNWW7OQ,0,0.4772727272727272,0.6045454545454546,0.00031635558367605187,0.032584625118633366
118,1,4,d9oJ-aCxJddLB8rie0SnHA,came lunch around place pretty dead very nice atmosphere comfortable seating open dining area also private dinning areas large groups orders were taken quickly asked garlic bread appetizer after minutes went asked server about bread snapped back cooking walked minutes later brings basket room temp bread slices slathered with cold garlic butter very appealing service very slow considering there only other group people dining chicken caeser salad decent dressing little mayonnaisey overall typical caeser salad nothing special best part their homemade croutons milano pizza incredibly dull with many toppings pretty surprised lack flavor there better pizza options there panini disappointing more like meatballs between dried thin pita bread best part meal their kentucky mule cocktail very delicious overall there hundred better options food this price range this area,VoXUt6TIJWyIf_lihbN5xQ,VoXUt6TIJWyIf_lihbN5xQ,2,41924.00863425926,BSmRrcyV0nC9sXdPpTzGXw,0,0.13544557823129247,0.5681904761904762,0.00031635558367605187,0.008541600759253403
122,0,2,F7FJgVn7fTyVBTLAPRU1NQ,maizies used weekly staple huge capicolla maizies features salad milano chef mikes favorite pizza that load their burgers were also list score grabbed about take from maizies other around hour before close included chef mikes favorite pizza beyond what restaurant should good conscious serve entire pizza burnt covered garlic several layers thick with pyramids garlic some spots there were sections piled half centimeter high garlic like garlic come only disappointingly inedible pungent actually removed from house immediately tainted other food maizies regular pretty quiet keep myself well take dine cant imagine that might have offended someone works here this beyond what would consider just accident there just ever could have gotten past even rudimentary quality control single dining experience noteworthy that completely turned this place stars because good before amazingly,NPiLy71qqXzb45k9eQOgCQ,NPiLy71qqXzb45k9eQOgCQ,2,40692.028136574074,V1i9tP_tUpKYQZaukTwjdg,0,0.10312629399585922,0.5274438604873387,0.0,0.0060107560898449855
123,0,1,Gm_pwDQiNXS7j1vMin2G1A,love wood fire brick oven pizza found this tiny mean tiny restaurant accident after ditching jack tucked behind fast food name franchises north east corner scottsdale shea nice little besides small place first thing notice menu very small dinner menu little bigger friend picked different things shared personal pizza meatball sandwich sandwich good spectacular pizza awesome went back again dinner again pizza terrific salad delicious asked them half half they said problem which great hate when places wont compromise make feel guilty changing their stuff loved girlfriend loved also something their soda fountain drinks bottled real sugar cane sodas that delicious only strange thing have owner doubles server very chatty thats thing very nice prepared have conversation with recommend casual lunch dinner gourmet pizza salad pros amazing pizza great food great service inviting setting cons very small menu caters more toward veggie eaters rather than meaty pizzas,5ykOWYZ44sUvu9qxD8rPeg,5ykOWYZ44sUvu9qxD8rPeg,4,41423.19994212963,4JiPslyzESR-UCO4r4Og9w,0,0.1939791666666667,0.6340208333333333,0.0009490667510281556,0.034482758620689676
125,0,0,x__1LcvKFIGPolJiVtoQHw,curious what happens when combine random cuisine with pizza slices pizza basically would surprised well salad contained pizza never salads getting chicken salad pizza comfort zone pizza good chicken chunks ranch salad just there greek salad meat eater need some animal food greek salad pizza just didnt have distinct flavors enjoy gyro pizza kind youre feeling more adventurous then hawaiian slices pretty large youre hungry make sure stop need quick bite some frankenstein pizza pleasantly surprised with results,Nf1ZtgHwg0Mu5lOaJYgDGQ,Nf1ZtgHwg0Mu5lOaJYgDGQ,4,40845.206041666665,eIZFENyr_XfQmA0BEx1Ykw,0,0.14986772486772487,0.6509700176366844,0.0,0.0009490667510281556
127,0,0,HMLs_ZF6sxuPkScgsZIkrw,love amazing quality food love quaint ambiance rustic decor service phenomenal will definitely back perfect little spot date night pizza delish,5ykOWYZ44sUvu9qxD8rPeg,5ykOWYZ44sUvu9qxD8rPeg,5,42833.14429398148,364G-SYEiimk7YnoSFZVKA,0,0.4160714285714286,0.5857142857142856,0.0012654223347042075,0.034482758620689676
128,0,0,iQozqTXSohlvbRSNyMs3bQ,food here very tasty sandwich pizza enjoyed both love that they have market well where myriad italian foods find some hard find items,r5PLDU-4mSbde5XekTXSCA,r5PLDU-4mSbde5XekTXSCA,4,42483.90913194444,PintgDNl-ibKii9zFRYaUA,0,0.18166666666666664,0.42833333333333334,0.0,0.03353369186966151
129,0,1,A0yHCCl668c8QIdNoFDi8w,sadly competition died down over years corleones stood test time best only cheesesteak joint scottsdale charleys does count matter what side debate youre find winning side here your whiz your provolone grilled onions plus your typical like peppers mushrooms more hell even wanna extra crazy even make philly taco with some solid pizza slices they have here well either chicken steak will super tender with soft roll guaranteeing classic bite always want battered fries some best combo fries plus they onion rings actually like their wings find weird yelp doordash menus dont list them anymore when still order them store definitely best cheesesteak ever damn good that beats meal fast food joints nearby keep stopping whenever craving classic,Hpi9raHlFm6prTSzFHTurg,Hpi9raHlFm6prTSzFHTurg,4,42963.97232638889,T6jCRh9Qi6bzAp-TG2Duvw,0,0.14973544973544972,0.5066137566137565,0.00031635558367605187,0.0034799114204365706
130,0,0,wiOLsIxvBpzmTMBb2hZ_WA,shea used drive through coffee business coffee still yummy drive remains open through lunch kitchen eating area inside tiny maybe tables menu includes homemade baked goods sandwiches many fresh ciabatta salads single entree each night tiny kitchen have tasted about half menu items including caprese bruchetta different daily flatbread pizzas havent found didnt like unexpected aspect with excellant selection alcohal favorite minted lemon drop martini friend enjoys manhattan crown royal they serve honest pour outside enclosed patio which friendly great place relax listen occasional band read book when easiest order register then they bring your food staff friendly informed have their attention once while worth enjoy,qQCsLGMncJp1xWUGnOKCQA,qQCsLGMncJp1xWUGnOKCQA,4,41423.76824074074,y9yLaWKlT2aXLBs50FGvaw,1,0.2111528822055138,0.46873433583959895,0.00031635558367605187,0.002530844669408415
131,0,3,6jI9jjo_iKuM79uIjS2nlA,average best however food snob love atmosphere casualness drinks have been wanting here while finally went tonight website brags about meticulously chosen imported italian ingredients which great need equal amount care preperation this area grazie seriously lacks ordered charceuterie plate marcello pizza here problem cured meats were extremely lazily learning mechanical slicer requires little training small amount effort uneven cuts mechanic slicer really executing something simple shows little care pride when brought table asked food runner what meats responded giving akward look stacking side plates just front walking away understand cheap labor that available arizona come very least they should able tell customers what they about also dont afraid cured meat with drizzle quality olive some cracked pepper maybe squeeze lemon price claims would expect pizza fine until sliced tomato fell pizza exposed nasty underside uncored tomato again showing lack care preparation carelesness like this tells making pizza huge tomato core pizza just turned over expose core with garnish basil sprig stem dead center pizza nowhere else overall being town should better there quality places this them grazie have good place your kitchen,jG1jcAeDw0pZTHCNC5kw_w,jG1jcAeDw0pZTHCNC5kw_w,2,40252.247245370374,PhEpbB9cRdauHwoeqLa3Rg,1,0.07029761904761907,0.5096003401360545,0.0,0.01866497943688707
133,0,0,y78b0o6R1ZB0lLEUKauLvg,generally chain restaurants chain restaurants good cheesy both food sense humor food portions huge taste pretty good price points good service friendly this place always packed prepared wait they have pizza please both fans thin crust thick although thick crust pizza prepared wait always wedding soup which delicious with meatballs small bits pasta chicken broth salty which makes super happy youre brave pizza cookie they have different kinds pizza dough topped with vanilla cream,dUffgo9Lh_Vk9TLuFR5ywg,dUffgo9Lh_Vk9TLuFR5ywg,4,40552.871354166666,S5dGv1vID1hoBZm2A9fK5g,0,0.20879629629629626,0.7287037037037035,0.00031635558367605187,0.032584625118633366
