,funny,useful,review_id,text,business_id,ID_bus,stars,date,user_id,cool,polarity,subjectivity,restaurants_sentiscore,restaurants_total_business_score
307,0,1,9N5GvpXQmiM3Ej79KrGh5Q,after great press awesome reviews heard looking forward dining here first thought that decor urban shabby chic meets goodwill garbage true experience absolutely disappointing have intention trying again were small uncomfortable table with hard wobbly chairs server stopped drink orders however they were diet coke because they only sell glass bottles this explanation lame once ordered pizza never server make other attempt check pizza dropped another server burnt looks taste bring this table posted wellthis pizza tasteless hardly cheese mushrooms were truly only compliment give reason deserves star really dont understand hype this place enjoy gourmet food assume alpo more flavor then pizza dont waste your time money theres plenty other tastey restaurants that area choose from,cs1qJvnWUg_f8g020z_3PQ,cs1qJvnWUg_f8g020z_3PQ,1,41618.00171296296,sWeg9ffWlhbxgaGBuPqgCw,1,0.000833333333333322,0.5758333333333333,0.0,0.035256410256410256
323,0,1,J-bj6U2PG9x7NLu12btEHA,small assuming pizza excellent like real italian thin crust done real wood burning oven slightly burnt crust fluffy edge chewy service prompt friendly wife shared salad which thought little small however lettuce cold didnt come like many restaurants they make their sparkling water which came very cold bottle nice touch wine selection small reasonably priced patio small there early want outside will definitely back,5ykOWYZ44sUvu9qxD8rPeg,5ykOWYZ44sUvu9qxD8rPeg,5,41220.95034722222,lzSNH_h5iqy0SM6O9zdLjA,0,-0.017958333333333333,0.4883333333333334,0.003205128205128205,0.02884615384615384
403,0,1,6OvCsdTgIoajeYutg5S3tA,bianco restaurants italian restaurant favorite best three worlds pizza pasta sandwiches with familiar chris bianco style fresh local ingredients food made from beginning house would definitely worst thing about restaurant trying decide what want could always what though with people love share three things went lunch joshs foraging fowls chicken salad with fingerling potato salad house made mozzarella prosciutto parma special which included fresh made orecchiette pasta with sausage this definitely those meals where know what first because werent sure which dish wanted last longest chef john hall also great addition newest bianco restaurant since farm table background right line with restaurants concept hiring definitely smart move their behalf sincerely looking forward next meal favorite phoenix restaurants,cs1qJvnWUg_f8g020z_3PQ,cs1qJvnWUg_f8g020z_3PQ,5,41327.975694444445,I9u3--BSibni1RAqK1MSmw,0,0.2277210884353741,0.5304232804232804,0.003205128205128205,0.035256410256410256
422,0,3,_-CG6047xg4HuwdQi_x10Q,worth hype absolutely husband phoenix area have been researching best restaurants pizzeria bianco kept popping lists decided personal must list spontaneous date night made pizzeria bianco destination best date night decisions weve ever made seriously pizza shared bianco verde simple incredibly flavorful pizza tasted authentic that when took bite felt like were transported italy usually when were hungry inhale food this time around wanted savor each bite weve eaten kinds pizza from pizzerias from york chicago this have been best pizza weve tasted least atmosphere small cute charming service really quick great perfect date dinner with friends family know this isnt original location actually really surprised this location doesnt have least stars stars around live visiting phoenix make sure visit pizzeria bianco least once your tastebuds tummy will smile thank type pizza that think about after youve check paid walked your back home wishing leftovers well definitely back more,cs1qJvnWUg_f8g020z_3PQ,cs1qJvnWUg_f8g020z_3PQ,5,43155.22734953704,8x4zDoBZ7U6LyNBqPT-ojw,1,0.3107366771159874,0.534920634920635,0.003205128205128205,0.035256410256410256
488,0,0,nsCshFcRe6Ly9Ixj4erz6A,came with husband laws celebrate birthday weeks started with cheesy artichoke bread spread some wings wings have been much better past werent nearly meaty remember ordered spicy shrimp pasta subbed protein chicken delicious shared some sister laws pablo picasso salad which just best salad ever husband shared thin crust pizza with very disappointing others table that ordered deep dish were very pleased with their order dessert were treated pizza cookie with scoops vanilla cream ordered half half peanut butter chocolate chip service good even though large group prices were reasonable portions huge chain restaurants this better ones sure,dUffgo9Lh_Vk9TLuFR5ywg,dUffgo9Lh_Vk9TLuFR5ywg,4,42893.82761574074,gOYgSEbE-Z7cqGsgGW3LBg,0,0.15268170426065164,0.6216207184628239,0.003205128205128205,0.02564102564102564
584,4,1,U6vx8NC2lTTz9ZE_1P-Rtw,arrived resort across street check after long airplane flight half hour before resorts restaurants closed evening missed dinner time flight were starving since hadnt rented vehicle searched yelp places within walking distance that were open late nearby options turned place down street gallaghers tried place first aunt chiladas reviewed separately despite that locations restaurants website stating open until were dismayed find that they only serve alcohol after asked bartender about gallaghers other nearby alternatives told avoid gallaghers like plague funny cabbie from airport said place greasy local favorite decided risk itand glad gallaghers dining room separate from arrived around there were other groups enjoying meals dining room dimly felt like belonged cold midwest metropolis kinda like chicago detroit version cheers which never visited sounded busy happy with loud music that battled with dining rooms music make pleasant cacophony white noise were exhausted seats were comfythe hostess very attentive pushy instantly brought large fresh glasses water food ordered appetizer platter fried mushrooms zucchini onion rings mozzarella sticks wonderful plentiful greasy despite being fried food piping with crispy fried batters husband ordered cheeseburger loved felt yucky from half traveling ordered small spinach salad salad could have been wonderful with thinly sliced sweet onions crispy bacon pieces mushrooms almond slivers oriental dressing side unfortunately spinach beyond seem like been washed mushrooms looked like they been picked from grocers chopped without inspection washing even wiping with cloth swear could bits manure slices below surface salad identified several spinach leaves which were close gelatinous state short service great grilled fried food wonderful atmosphere comfortable inviting will definitely againmaybe their pizza wings learned things never order salad from unless salad always trust cabbies opinion over that competing bartender,5nWfU-qheLL-JzwYgHe_cQ,5nWfU-qheLL-JzwYgHe_cQ,4,41137.20028935185,eFDw1axpJVR2IySnef__pQ,1,0.1613983371126228,0.6027966742252457,0.0,0.0
621,1,1,qdEhxQlEO45W_tuRuTvQMA,what seeing more more restaurants downtown phoenix loving when heard about nook course excited since just went visited other location arrived about saturday night tons traffic knows what valet full problem parked around block walking decor ambience makes feel comfortable colors vibrant subtle fell love with chair table felt like queen menu same plus some additions well already knew order pizza from previous visit arcadia boyfriend decided diavolo sauce pizza with basil somewhat spicy meat amazing ordered short picture have will show just wonderful entree came with leek mashed potatoes baby green beans shared food loved every bite compliments chef were checked times made sure everything needed normally dessert have room tummies lovely friend boyfriends came recommended oooy gooey butter cake yeah made room that sure craving back very soon support this place connected hilton garden monroe check lovely patio dine inside enjoy wonderful meal,PxTKXsdYqoFHWAG2amz0XQ,PxTKXsdYqoFHWAG2amz0XQ,5,42472.29809027778,wdiv0Aw82K1Ic-VzXjYj9A,0,0.33141025641025645,0.5837606837606839,0.003205128205128205,0.016025641025641024
655,0,3,DxXGMs-nnNiauz8BZo9Wnw,upon arrival pleasantly surprised find that they expanded restaurant were seated room back like being restored tuscan farmhouse with candles paintings chandeliers firewood books such table even though still light just after they already candles along with fresh flowers pepper grinder salt this shows much pride owner this restaurant food think best dish table pappardelle with bolognese think they seriously improved this dish this most authentic with rich sauce best have long time just loved thin sheets obviously homemade pasta lasagna verde also very good think they should have just eliminated sauce done more bechamel didnt care much chicken involtini little dense tough precooked then reheated there also sign indicating pizzeria bianco probably because they have wood burning pizza oven however hope this isnt same pizza that people wait over hour their sister restaurant because wasnt impressed with tried margherita crust wasnt that thin crispy bottom sauce great cheese scant very bubbly having lived rome italy guess expecting that type pizza maybe this supposed more like what would find florence however homemade bread olive brought table very beginning just amazing service notch professional waiter well dressed like other staff obtrusive tell timed everything accordingly waiting finish appetizer unlike other phoenix restaurants where have wait order entree avoid getting served fast highlights ambience simple fresh high quality ingredients service will back spaghetti with order meatballs eyed them another table they looked amazing even from feet away,cs1qJvnWUg_f8g020z_3PQ,cs1qJvnWUg_f8g020z_3PQ,4,41378.59961805555,9KGSlYAYkI7xt1xrA4rrcQ,2,0.22461257309941518,0.5434774436090225,0.0,0.035256410256410256
669,0,6,2pgcMQGmGYlerk7h-EUHSQ,finally have found sushi spot arizona after moving from california trying different sushi restaurants area thought were doomed mexican food pizza forever literally said this last place would sushi wasnt good then would throw sushi towel delicious authentic attention detail fresh owner sushi chef entertaining really takes care customers everyone restaurant brought complimentary lightly seared tuna tataki with ponzu thanked personally coming hesitant sushi with black rice officially converted while white rice that chewiness bounce back black purple rice tender with just right amount resistance complement melt your mouth buttery fish felt less heavy than white rice fact that healthier makes feel little better about stuffing face with sushi fresh wasabi worth officially spoiled there going back that powdered crap such fresh bite doesnt overpower sushi like normal powdered wasabi does also city roll spicy tuna roll nigiri they accidentally brought crunchy crab roll keep extra charge course everything amazing also spicy shrimp tempura ramen eyes were bigger than stomaches togo bags were sumo wrestlers only wish they would shrimp tempure side have sitting ramen because soggy quick would probably just stick with sushi next time dont parking parking meters free during weekdays parked front courthouse block away free lots open spaces park will back,S-oLPRdhlyL5HAknBKTUcQ,S-oLPRdhlyL5HAknBKTUcQ,5,41803.130381944444,7bhQQHkTdtOucIpdfLAnSg,1,0.14453869047619047,0.4508928571428572,0.0,0.003205128205128205
708,0,0,fxWdJGO8DY4EkWCSlUvCtQ,awesome pizza will definitely back when come back arizona being from north dakota dont have good restaurants this place will list future visits owner super nice patio seating great crust pizza perfectly toasted perfection some amazing sausage italian bacon,5ykOWYZ44sUvu9qxD8rPeg,5ykOWYZ44sUvu9qxD8rPeg,5,42523.11040509259,ZpM8Nf0WLa8pbpHxZwmz8Q,0,0.4575757575757576,0.5492424242424243,0.003205128205128205,0.02884615384615384
735,1,1,WMA20vIWDnoRp41bVbEX2w,this best middle eastern restaurant eaten inside small plaza thats nothing flashy step inside like walking into vacation place small cozy elegant staff friendly prices kinda high waitress warned that arabic coffee strong sweet brought tiny expresso sized coffee assumed getting full however price reasonable compared real super yummy just right sweetness that eaten other persian restaurants such ameera broadway that they have messed falafal before with terrible taste that wellhow mess something that popular pizza them saharas falafal generous yummy their hummus thick creamy their pita bread warm made perfection ordered tabouli salad appetizer first time trying tabouli very flavorful could have been bland salad cook must have lots experience with mint lemon juice exactly them dragged husband this place trying convince them that theres nothing wrong with foreign food know sometimes have relatives whose taste buds arent adventurous yours made believers them,rhKzcgMm8CDhu7RZz_XxqQ,rhKzcgMm8CDhu7RZz_XxqQ,5,41141.61591435185,SX7xBRFGfrEjfXDqw0d-ew,1,0.09874603174603175,0.5541904761904762,0.0,0.0
738,3,1,yeBrx8uuLHibrqytzSlmVQ,chinese always been tricky cuisine review admittedly this partially ignorance thanks parents excluding chinese from five restaurants kept continuous rotation during family dinner outings also with fact that chinese food least american influenced style were most familiar with hasnt really evolved much there corporate chains that suburban families flock well these called modern spots that simply replace dragon with ikea furnishings screen food really that different when think about pizza burgers even mexican food have their fair share changes over years rarely hear about high chinese restaurants have found much variation types food available pretty traditional stuff which probably once exotic appeal slowly waned last fifty years fact that roughly third them always named great wall doesnt help matters much wait where dragon palace little family owned chinese restaurant that from what understand been around quite some time located seedy looking plaza chinese places that popped with some decent yelp reviews thought give them complimentary upon being seated nice touch girlfriend ordered sampler platter which consisted wontons honey dipped chicken legs rolls jumbo fried shrimp unfortunately wontons tasted stale they been sitting around long rolls werent opinion these basic most basic items something wrong with them thats probably good sign hell vietnamese thai crew people that shamefully stole these items from chinese menu them right cant this place entrees were delivered shortly thereafter quickly slapped down edge table server similar barista plunking down couple iced coffees counter before running back make another drink during middle rush typically when chinese usually play safe ordering beef broccoli rarely deviate sheer fear however once attempted change things ordering their kung chicken took about three bites immediately surrendered still cant finger what something whether peanuts some kind strange oyster like sauce just gave meat this very bizarre aftertaste that strongly disliked girlfriend ordered chicken chow mein half offered pity immediate dismissal wasnt nothing that would order myself once again cant really finger just seemed rather bland also receive traditional bowl rice rice rice make microwave minutes there want they serve couple complimentary banana fritters meal which admit charming move especially since most chinese restaurants dont seem offering desserts they were okay probably would have tasted better fried bananas typically then again they were free guess shouldnt complain overall really impressed which really wondering serves best chinese food phoenix allegedly according girlfriend best chinese restaurants actually found mexico places belief that colleague mine also strongly supports from what been reading theres actually quiet movement central phoenix give chinese cuisine boost although havent quite experienced this just ultimately this just wasnt type place although reading some reviews they seem have their fair share longtime fans take opinion with grain salt this case grain,fnaDx7UD4MiodQlgYHDwsQ,fnaDx7UD4MiodQlgYHDwsQ,2,42787.00001157408,TCPLaprJm4FFei2DkW6K6g,0,0.12764050858438614,0.42592484612892767,0.003205128205128205,0.003205128205128205
757,1,2,AOQuV8doSkSyUMgT-W0xCw,grazie town scottsdale hidden pizza restaurants here valley everyone knows about pizzeria bianco cibobut money grazie puts pies that just good better dare came here over weekend pizza decided complimenti alla mama sauce mozzarella ricotta salame parmigiano reggiano over selling this when have been three best pizzas ever life also enjoy wine list very italian focused service pretty good youre coming first time cant leave without having dessert dont worry about picking have order dolce della casa slightly charred sweet calzone filled with nutella bananas topped with vanilla cream summary getting hungry just writing this review cant wait back,jG1jcAeDw0pZTHCNC5kw_w,jG1jcAeDw0pZTHCNC5kw_w,5,41834.74480324074,DvdVXZuixUz7651_hrGmEg,0,0.3243589743589744,0.4525641025641027,0.0,0.003205128205128205
852,2,2,6Ldd1ur0-FNMOoqFA04_Ag,first this tallest restaurant ever been second they give pretty generous servings beer ironically tall glasses their wines pretty good third bierschs brewery eatery when comes down really just fancy version minus flatscreens projecting latest sports event food isnt that great most american food restaurants within nexus tgifridays scale fancy version tgifridays being best normal tgifridays being just tgifridays poor mans tgifridays being something like dennys this spot falls into fancier version tgifridays picture ordered veggie pizza which literally thin crust pizza that someone dumped bowl spinach after came oven jock understands vegetarian eating fourth staff really friendly ultimately really busy because theyre understaffed probably related nations clusterfuck poor house think restaurants make sure that customers seen fifth their food overpriced what sixth this place isnt that just soul what burger drink watch game maybe combination three seventh youre diehard about this place some point your dining life your idea class probably something along lines drinking champagne hooters,aVkVDJ01OgvNwhlCUz_bng,aVkVDJ01OgvNwhlCUz_bng,2,39881.049363425926,Oay68SoCl5BcM4XAbt47zw,2,0.1549768518518519,0.4650462962962963,-0.003205128205128205,-0.003205128205128205
868,6,6,QW9a9G9X7KAciMlhQDTH3Q,knew coming down bend eventually jefe must review hefe drink have eaten here looks like pizzaz filled gringo ized mexican that youd come expect douchey started bros from scottsdale just skimming through menu just exemplifies many horrible mexican food options actually have here arizona like american style chinese places around each corner same same with that said drinks were tasty separate margaritas here best being house margarita enjoyed flavors which were balanced between sweetness crispness booziness enjoy paying however margaritaif want spike hair surfer voice collar head down bangin club scottsdale were talking here mill nope rather couple other places that type coin then again flavors mixed well atmosphere service atmosphere what earns this place bulk stars transitions better than bulk restaurants have seen from lunch spot into club spot finally into full nightclub good them chameleon thing works really well happened enjoy latter versions quite well with friends with music blaring loud into heat night just weeks back slouch dropping some good mixes allowing booze influence white dance moves well service quite poor here however girls just there candy they dance seating areas once transitions into nightclub seem fully care that this their during other portions night girls tending literally phone looked smiled looked onward asking another then back down phone about seconds later said sorry caught with friend then made drink thats lame exactly type service expect from this place suggestions should asked just dont doubt they really know their menu quite well downlow extras extrasreall simply there pros cons everything here give take should need expect that from place where spending good amount money plus they spelled jefe wrongi mean arizona spell right this place tries boss they barely that they stars nightlife atmosphere star which rounded solid drinks they lose star shit service over priced douche menu would back yesbut thats after have bunch elsewhere then walk here enjoy maybe drink music otherwise will leave this stupid frat boys cant their oversized skateboard scottsdale location,UJb1PrUWDFfuzwUPc1pP4Q,UJb1PrUWDFfuzwUPc1pP4Q,3,41976.74994212963,sOZfGLRjhcEjAKBLZKcJGg,2,0.07564382896015551,0.38667395529640425,0.003205128205128205,0.003205128205128205
944,0,0,476Tx6ToDZOmGJ7ctl5jhw,location visited downtown attached coolest hilton garden ever seen this future hotel restaurants started with arancini which amazing fried risotto balls yummmmm these were good were able outside enjoy nice weather craving comfort food sticking italian theme tend fresh pasta hard turn down hello bolognese thought their pasta tasty every noodle back have give their pizza complaints here really good food service from,PxTKXsdYqoFHWAG2amz0XQ,PxTKXsdYqoFHWAG2amz0XQ,4,42823.71828703704,rpqPEEh6dWg8228Qu63uUQ,0,0.25790598290598293,0.44081196581196586,0.0,0.016025641025641024
1036,1,0,SJkpnN0RZJSvXwkj-k5k3Q,went joeys chicago expecting find rumbi island grill restaurant which previous tenant apparently went business replaced joeys like dogs much anyone however decided give they decent plastering place with chicago memorabilia enjoyed reading various facts about chicago that were tray paper fries with various chicago style toppings quite tasty ketchup needed could definitely imagine eating there again unfortunately this particular restaurant location suffers from potentially fatal flaws these flaws that personally believe caused rumbis fail might possibly problem joeys well hopefully parking spots awkward when enter naturally drawn park front wildflower restaurant while rumbis joeys restaurant feels during busy times finding parking spot this complex practically impossible other restaurants seem doing maybe this isnt that deal definitely something noticed though dining room area empty hotdog joints simply shouldnt have twenty empty tables doesnt feel cozy authentic which practically requirement thematic restaurant like this instead feels empty lonely sterile deserted thats even when there people there previous rumbis restaurant there exact same problem even looks like joeys kept almost same furniture having cramped dining area that only holds couple people interesting effect makes place look popular even when only people there this effect amplified when restaurant actually busy people forced order items example successful hole wall restaurants that this technique take look either mamma mias pizza chicago hamburger just down street theyre cramped always appear bustling edited sure enough looks like joeys closed unfortunately appears that predictions were true,M4zq737gzO5GqIk91X0CYw,M4zq737gzO5GqIk91X0CYw,3,40591.9281712963,O_XLrORc2y54s7EfgAWlQQ,0,-0.009515366430260054,0.5360266801756163,0.003205128205128205,0.003205128205128205
1061,0,0,0D3SU5AgDUfSLUc_Nf9hPQ,have been patron bosco while being yorker love pizza noisy restaurants have noticed that bosco hardly ever hardly patrons restaurant wine pours very small that bothers ounce pour some appetizers quite tasty recently cesar salad twice been tasteless pizzas always tasty restaurant looks tired believe this major turnoff visitors reason place never busy basically lacks atmosphere character expensive restaurant plus there lots noise from next door from cowboy which very annoying outside bottom line good pizza when drop dinner expectations hope owner totally renovates moves builds upscale place will drastically improve image make more profitable,5ykOWYZ44sUvu9qxD8rPeg,5ykOWYZ44sUvu9qxD8rPeg,3,43124.00111111111,BMd9p4g8BSJDhrDi3SZE1w,0,-0.1059895833333333,0.5283333333333333,0.0,0.02884615384615384
1134,1,1,jwU0H70IwgwDTt00_xkFfg,this tiny restaurant packs punch awesomeness speed north avenue west roosevelt street downtown phoenix only will speeding ticket will definitely miss hole wall restaurants phoenix tried their herb crusted rack lamb which came with chorizo manchego risotto wife wine drinker their sweet wine forgot name found food market central camelback wanted some next house party other dishes were spinach brie grapes blackberry spinach salad white truffle pizza meatballs marsala mouth tummy very happy that nightthank centurion great customer service place very small definitely need reservation ahead time before coming here news flash waitress stated they were going extend place will occupy business space their west unknown when they will begin this project another great location date night would also recommend visitors family friends definitely must visit,pKiSzUlBBRNEdTML24piXA,pKiSzUlBBRNEdTML24piXA,5,41110.95570601852,1wqjQ-30OlnFtFeKxum1LQ,1,0.16000000000000003,0.5263333333333333,-0.003205128205128205,-0.003205128205128205
1182,0,0,p82ChXkOeb_pKyWNV-8H0w,arizonian born raised valley over years this favorite restaurant time start with best part service literally always same people been coming this location several years will treated like cattle here like going grandmas house having most amazing meal prepared your family patient enjoy food your first time coming here because everything comes fresh second legendary spicy machaca pizza they should really update their menu that this pizza better than think like mexican machaca pizza because youve ordered other restaurants prepare your expectations demolished after ordering legendary machaca pizza because other restaurant will even come close this this drools legendary machaca pizza third people complain about spicier than thought this horrible there warning anything menu that supposed spicy like chicken bland thats because practically punishes ordering spicy even dont your online research first what kind restaurant this even before seated there literal sign front door that says some like dont mind decor restaurant chiles peppers somewhere menu they actually warn that food spicy order molinos youre best keep doing what youre doing,46hnat0aLao-qYWZkN9aBg,46hnat0aLao-qYWZkN9aBg,5,42895.71172453704,jpJgPALX2uoUQUwbT_dJTA,0,0.2724358974358974,0.5009615384615386,0.0,0.0
1205,0,0,mXoVj086hySguGRLE7JHwg,favorite restaurants always their wood fired pizza owner bill nicest guys youll ever meet this must visit town,5ykOWYZ44sUvu9qxD8rPeg,5ykOWYZ44sUvu9qxD8rPeg,5,42302.599652777775,gw_yg7329SgpEvX5sOpwGw,0,0.5,1.0,0.0,0.02884615384615384
1215,0,1,d07j8LjG8TolXU9wFKJBTg,ordered mister last night sunday because there were only restaurants open tried almost every late night delivery place area this point some reason always skipped over this place wasnt expecting much ordered stuffed shells half pastrami prices were reasonable what everything quite tasty pastrami perfectly seasoned there plenty really recommend this place havent pizza expect will good,EHgGscaiJBghjZVT9hsBFw,EHgGscaiJBghjZVT9hsBFw,4,40595.94564814815,kBy2MAMpx9S4g-WV3gPsKg,0,0.10833333333333335,0.41833333333333333,0.0,0.0
1334,0,0,3HIWTxJfx67ytnieXBUgqw,like very good food think kitchen place well this spot pull seat counter watch chef owner eric through paces every dish unique every preparation comes with heavy dose care thought local ingredients fact learned place bumping into eric farmers market real show open kitchen erics asbestos hands will amaze reaches into degree forno oven turns your pizza hand checks marvelous lamb risottos perfectly done well ours manchego cheese creamy delight topped with chorizo that perfect topping course eric prepares each himself order phoenix love affair with chain restaurants just might trouble more chefs open places like centurion,pKiSzUlBBRNEdTML24piXA,pKiSzUlBBRNEdTML24piXA,5,40559.195543981485,b9wzCESga9nKt-I9prCupg,0,0.39115384615384613,0.6061538461538462,-0.003205128205128205,-0.003205128205128205
