,funny,useful,review_id,text,business_id,ID_bus,stars,date,user_id,cool,polarity,subjectivity,burgers_sentiscore,burgers_total_business_score
718,1,1,,what about green well pretty awesome place start gone there quite times since going vegetarian first visit shocked foods mimicked actually tasted better green provides sorts different menu items they have rice noodles bowls with mock meats tofu salads burgers sandwiches mini pizzas delicious soynamis which their based cream delicious they have specials well want follow them twitter like them facebook green also gives selection side items including fries tahini coleslawa favorite pasta many come with main item meal they also include appetizers including artichoke gratine which yummy with chips vegan chilli fries crab puffsanother favorite boneless wings with their homemade vegan ranch dressing only unfortunate thing that both times their wings they have been salty kind ruins things there youre going there first time must their sandwiches huge their secret chickn sandwich messy satisfying almost creepy well imitates real chicken sandwich guiltfree deliciously crafted this sandwich will down boyfriend also into argetine which steaky taste mock meat type sandwich that will sure make your mouth water have their noodle bowls with mock beef sweet sour flavor filling their sandwiches maybe because didnt think there enough noodles theyre pretty good place itself pretty hipster artsy feel vibe many times there will artwork sale contests going definately cool environment they have couple couches great place dine bring your friends really waiter waitress type thing grab menu line order what want counter then they bring when ready most time ready rather quickly dont have worry about flagging down waitress waiter need anything green also hosted think annual thankliving last year that went first time that delicious vegan thanksgiving plate that included everything could imagine thanksgiving veganized delicious definitely event dont want miss love this place comfort food best just vegans swear even youre herbivore will love green,5FIOXmUE3qMviX9GafGH-Q,5FIOXmUE3qMviX9GafGH-Q,5,40624.2796875,VMMb0TJtYVRnicZn_u4FDQ,1,0.23616161616161616,0.6166666666666665,0.0,0.04895104895104895
719,0,2,KNrYQcpaXw4DbIv4B5uDUQ,quaint sufficient cafe located ground floor university phoenix building fair prices decent customer service adequate selections fresh packaged food already prepared ready serve quick bite food replenishment every week rotates between different menus quite common spot culturally rich entree from time time this welcomed break from monotonous menu that have become overly accustomed house specialities that bistro offers personal pizzas burgers sandwiches salads they also offer decent breakfast menu well such burritos combo plates bagels fresh fruit parfaits there ample seating with hallway that contains chairs booths other fairly large dining area with wide tables that provide sufficient environment colleague discussions kudos board games that corner bistro excellent place which only receives star rating solely quality food ingredients when take price factor into consideration bistro away opportune setting well deserved break,jAO8qYbiYZNbmhK8Knr9Mg,jAO8qYbiYZNbmhK8Knr9Mg,4,42965.15403935185,D3GeQgpvMLwZCCHHdvyqaA,3,0.19285714285714284,0.5484335839598998,0.0,0.0
738,3,1,yeBrx8uuLHibrqytzSlmVQ,chinese always been tricky cuisine review admittedly this partially ignorance thanks parents excluding chinese from five restaurants kept continuous rotation during family dinner outings also with fact that chinese food least american influenced style were most familiar with hasnt really evolved much there corporate chains that suburban families flock well these called modern spots that simply replace dragon with ikea furnishings screen food really that different when think about pizza burgers even mexican food have their fair share changes over years rarely hear about high chinese restaurants have found much variation types food available pretty traditional stuff which probably once exotic appeal slowly waned last fifty years fact that roughly third them always named great wall doesnt help matters much wait where dragon palace little family owned chinese restaurant that from what understand been around quite some time located seedy looking plaza chinese places that popped with some decent yelp reviews thought give them complimentary upon being seated nice touch girlfriend ordered sampler platter which consisted wontons honey dipped chicken legs rolls jumbo fried shrimp unfortunately wontons tasted stale they been sitting around long rolls werent opinion these basic most basic items something wrong with them thats probably good sign hell vietnamese thai crew people that shamefully stole these items from chinese menu them right cant this place entrees were delivered shortly thereafter quickly slapped down edge table server similar barista plunking down couple iced coffees counter before running back make another drink during middle rush typically when chinese usually play safe ordering beef broccoli rarely deviate sheer fear however once attempted change things ordering their kung chicken took about three bites immediately surrendered still cant finger what something whether peanuts some kind strange oyster like sauce just gave meat this very bizarre aftertaste that strongly disliked girlfriend ordered chicken chow mein half offered pity immediate dismissal wasnt nothing that would order myself once again cant really finger just seemed rather bland also receive traditional bowl rice rice rice make microwave minutes there want they serve couple complimentary banana fritters meal which admit charming move especially since most chinese restaurants dont seem offering desserts they were okay probably would have tasted better fried bananas typically then again they were free guess shouldnt complain overall really impressed which really wondering serves best chinese food phoenix allegedly according girlfriend best chinese restaurants actually found mexico places belief that colleague mine also strongly supports from what been reading theres actually quiet movement central phoenix give chinese cuisine boost although havent quite experienced this just ultimately this just wasnt type place although reading some reviews they seem have their fair share longtime fans take opinion with grain salt this case grain,fnaDx7UD4MiodQlgYHDwsQ,fnaDx7UD4MiodQlgYHDwsQ,2,42787.00001157408,TCPLaprJm4FFei2DkW6K6g,0,0.12764050858438614,0.42592484612892767,0.0,0.0
862,1,2,j_I-rJNwhFJevIPPQMfFmA,ever stuck jungle with only meal want wrap from pita jungle only meal tasty good took forever finish didnt even come close went with spicy chicken wrap spicy marinated grilled chicken brown rice mixed beans tomatoes squash zucchini cauliflower broccoli bell peppers onions late eating dinner decided pita asked them wrap lavash instead what creation chicken perfectly seasoned veggies were cooked mushy beans rice added depth gave whole thing texture lavash crisped perfection burnt thing swinging vine with huge menu choices everything from burgers pizza salads starters place this jungle check nutritional facts online youd like make healthy decision which pretty easy there tons options good food reasonable prices tarzan would proud,U_x3Ryer88VwUlqa71Np-g,U_x3Ryer88VwUlqa71Np-g,4,40416.653182870374,JUT0U3HTSB3kz9Wh7N0GqA,1,0.13725490196078433,0.7284313725490197,0.0,0.006993006993006993
971,0,0,k8-2FbaSJarrXXbMsgwyKw,great place burgers fries cheesesteak pizza quick service clean,gp9ZESRRNLqWfgJtEzPThA,gp9ZESRRNLqWfgJtEzPThA,5,42387.792962962965,bwH9PtaLXZCN0yZDzHbHtA,0,0.5,0.65,0.0,0.0
1004,0,0,YgsMjuYDQswobpcxhWv73Q,eating vegan felt badbut meaning meaning good seriously really nice have vegan option that just straight comfort food place never packed super casual walk hardest choice what dont worry cant wrong every time have gone cashiers have been very helpful still deciding between options food would recommend comes with little kick fries always good come with great ketchup thai slaw would definitely with fries have also pizzas they always safe veggie burger good mushy burgers freak then another direction wish more firm looking ridiculous treat grab soynami fave mint chocolate version small thing that hate though they serve them with wooden spoons weird hate eating wooden spoon weird soynami good still though finally happy have this place town always amazed that does have more dedicated vegan places thats wrap then will satisfied here same ownership another check shirts sale love ninja deer bike shirt,5FIOXmUE3qMviX9GafGH-Q,5FIOXmUE3qMviX9GafGH-Q,4,40262.779953703706,ueCYs_wHuQ7B6_QuWIiBow,0,0.12629310344827585,0.6244252873563219,-0.006993006993006993,0.04895104895104895
1020,3,4,4jpLtxK7iggD99IOr81Nzg,maizies been favorite mine nearly years cant believe just getting around writing review cookie fiance monday night burgers just about every monday wrangle friends sometimes hard when having kids tend suck them into vortex well wherever they thats fiiiiine really cause just belly meet peeps hang with kick bartender tina burgers always quick very tasty started getting sweet potato fries they rock perfect crunchy outside soft inside ciabatta bread burgers come fantastic also noteworthy maizies pizzas they have tuesday special that wish another night because feel little weird hitting them nights dont want those people know brunch also fantastic just love this place havent meal service here ever last love friendly this place often bring pooch always treated like pretty princess they give bowl water cheeto looking treat loves,NPiLy71qqXzb45k9eQOgCQ,NPiLy71qqXzb45k9eQOgCQ,5,40659.791655092595,mVujWzkq56Rf88w-9HuPIQ,2,0.22931547619047618,0.5814880952380952,0.006993006993006993,0.1048951048951049
1035,0,0,T3fBSSXKR0wfxENBMSihvQ,weekly regular have only gotten their pizza fries havent tried their subs burgers food itself tastes good prices fair they have foot long slice flavored crust they open every count genos midnight snack they just remodeled inside restaurant months normally takeout their service fast taking more than mins takeout genos also provides delivery through yelp uber eats currently also back uber credits every time genos some visa local rewards program signed through default uber,gp9ZESRRNLqWfgJtEzPThA,gp9ZESRRNLqWfgJtEzPThA,5,43124.33216435185,ewv2bdFcutxB6npkx6y9Dw,0,0.18333333333333332,0.46891025641025647,0.0,0.0
1075,0,0,rTUruPir4WyCptmEu5fRbA,with quaint accommodations friendly staff interesting selection food choices able forgive forget that centurion didnt have liquor license centurion cozy cozy mean small place personality imagine myself hanging patio after work cooler weather those vegetarians there centurion offers diverse selection choices lunch companion split heirloom tomato with brie panini shitake spinach risotto both were flavorful prices quite reasonable each menu offers diverse selection which includes burgers pizza pasta salads around some higher priced dinner entrees ranging from hope return their dinner entrees blue cheese crusted filet mignon sounds wonderful feel like fallen upon hidden neighborhood crossing fingers their liquor license,pKiSzUlBBRNEdTML24piXA,pKiSzUlBBRNEdTML24piXA,4,40374.952569444446,dqNRPhVGZXPzTWDFGQO0ew,0,0.13541666666666666,0.48184523809523805,0.0,0.0
1098,0,2,Wm4PWm5pTYdaG4oeK5kGEQ,stopped between flights surprisingly good pizza clearly made spot piping fresh ingredients nice balance flavored really good sauce sausage carmelized onion fresh mozzarella downside that theyre applying standard airport markup ripoff beers from small quality selection draughts pizza were with standard about more than worth thats life terminal come here again stuck terminal maybe burgers next time which more reasonably priced,0h5yI6np7weAVH0jsjHqPw,0h5yI6np7weAVH0jsjHqPw,4,42401.1903125,Jng7zVZNIuldIXgdOrh35Q,2,0.2821428571428571,0.4059523809523809,-0.006993006993006993,0.0
1180,0,0,yNVLAqw3fyEXj2XO5MrgZA,place within lifetime fitness grab bite before after working they have plenty smoothie options well burgers wraps salads bowls even pizza believe that their bread gluten free calorie content basic nutritional stats right there menu which nice havent been impressed with anything have ordered will pinch this also where lifetime sells their branded merchandise like water bottles such they also sell protein powders other supplements prices pretty high discount mention name trainer nutritionist works there that working with,Xw2o0GKWxDRMFPR0a4IOoQ,Xw2o0GKWxDRMFPR0a4IOoQ,3,42347.78350694444,Tsm8VraTp5OGyVALtUiCeQ,0,0.28563492063492063,0.6528571428571428,0.006993006993006993,0.006993006993006993
1439,0,0,VaWeLFeC5Xrb3miiV1iOEQ,chain restaurant type person going chain rather here karl strauss rather than applebees anything those lines been town week this place closest hotel where could some food watch world game place clean server nice they games decent food easy find place where healthy meal watch sports game this best option both those things needed tuna salad which okay really small sauces dressings tasted really good nothing compared what from sushi across street again needed game also other food around looked really good though table next gotten chicken pizza which looked delicious another table behind gotten burgers sandwiches fries this probably better choice over fish this type place veggie burger fran location will that amazing imagine thats tempes menu also personally dont drink beer know from others that they have fantastic beer selection course they have wine well overall good place youre craving beer burgers dont want dive chain,aVkVDJ01OgvNwhlCUz_bng,aVkVDJ01OgvNwhlCUz_bng,4,41822.22052083333,YTOJTDWe41RQlaaQUxwHKQ,0,0.23298611111111114,0.5635416666666667,0.0,0.013986013986013986
1636,0,1,CDiJrPimFZ1R3P0nx4phxg,sometimes great usually good occasionally miss monday night bistro burger special fantastic like burgers better than steak sandwich which chewy chicken dinner plate good grilled corn comes with fish tacos were amazing enchilada dinner plate that great dinner specials usually always good pizza isnt that special decent breakfast french toast with banana bread over sweet like dessert prefer more traditional version meat potato breakfasts good hardy breakfast burrito covered sausage gravy huge little bland without sauce coffee good draught beer selection lacking happy hour prices nice there full large wine list sage white balsamic fries especially tasty pork sliders prefer saucier pulled pork meat chunky slightly good smoke flavor overall maizes good option casual dining with laid back urban vibe once while food amazed fish tacos once slightly underdone burger food pretty consistently good,NPiLy71qqXzb45k9eQOgCQ,NPiLy71qqXzb45k9eQOgCQ,4,41066.214953703704,HnZ9SrrAMsq43A6N6UTXbw,0,0.29406328320801994,0.5757832080200502,0.02097902097902098,0.1048951048951049
1651,0,1,bFOEKlwCpSb9IkM5kgQDPg,that cooling down heading back maizies summertime heat practically requires eating inside where just cramped noisy those hard surfaces reflect every little sound patio lovely fall winter spring love tuesday night pizza specials stuffed burgers sweet potato fries every dessert tried been superb even large service always friendly prompt water glasses always refilled happy hour specials great deal large tasty like them facebook seemingly daily updates specials love maizies,NPiLy71qqXzb45k9eQOgCQ,NPiLy71qqXzb45k9eQOgCQ,4,40821.15944444444,sUbfyji-MNuyoUsCLyonUA,0,0.3136780753968254,0.5273561507936508,0.006993006993006993,0.1048951048951049
1716,0,1,5bY99aHKdK7cGDdqMS3Z6A,group town watch some spring training games fell into usual pattern pizza burgers surprised everyone with perfect pear restaurant that picked yelp change things with some lighter fare this great place some soup salads sandwiches pastas started with some hummus pita slices this could little olive seasoning passable also enjoyed starter olives pesto goat cheese beware that olives have been pitted bite down gently ordered mushroom pasta with chicken quite flavorful filling wines glass list nothing special chardonnay that worked fine warning that would give grilled cheese sandwich been over spiced with believe cinnamon possibly nutmeg this completely overwhelmed sandwich point that couldnt taste cheese been order would have sent back almost never send food back with group menu sounds good pictures enticing then sure that will enjoy,t61eGISz7qMOxEe7o3vwEw,t61eGISz7qMOxEe7o3vwEw,4,42462.40820601852,ZKa9nvN1aSz4ihBR2PG7-A,2,0.21559744268077596,0.5888447971781304,0.0,0.0
1777,0,1,ii8E8b3XvlYACH4SRe7qtw,gordon biersch upstairs outside patio where look down mill while enjoying food beer accommodations that drew mention they have their beer sample chose seasonal pretty good although very very filling couldnt even drink after having dinner shrimp salad another beer prior coming here plan drink their beer make sure bring your extra stomach along youre gonna need food never cant speak that looks like serve american fare like pizzas burgers they also have very tempting dessert menu should know brother checked last night after learning free dessert your birthday since birthday both contemplated getting like apple bread pudding chocolate peanut butter service beyond horrible sure were quickly shown table took several moments server come over took drink orders told about free dessert after know special drank talked enjoying night when decided leave could find server anywhere waited looked around waited some more finally decided leave found standing hostess table doing nothing thats when like guys want close your yeah thats what wanted minutes missy slapped down beer runner whoa left what wanted something brother asked yeah said didnt even check just shook heads both agreed probably wouldnt ever back know expectations high more positive note brother best runner ever thats gotta worth something right their mojitos before while know they have full think having their house brewery very cool,aVkVDJ01OgvNwhlCUz_bng,aVkVDJ01OgvNwhlCUz_bng,2,39492.69336805555,KeuwC8E1238SP6xyKpBM6w,0,0.22325309370763913,0.4590854431763523,0.006993006993006993,0.013986013986013986
1942,1,0,frMIC6Dy4omFS_QBMc20rg,delivery from these folks time wifes pastas especially meat lasagna lobster ravioli while more pizza person service friendly fast food good favorite pizza bacon feta only issue ever with hamburgers could order same everyday week none would ever taste same then again this pizza joint what expect stick with italian food youll fine,YDZRlB762hEebm2OyZISiQ,YDZRlB762hEebm2OyZISiQ,4,41007.03362268519,Chlc6iFDK0vpHO1rUut1Tw,0,0.20763888888888885,0.5458333333333333,0.0,0.0
2276,0,1,1ckuT3sv66wSbkcdcxeGlg,love this neighborhood spot used think just sports couldnt possibly good place eatbut about months moved into house right behind checked totally misjudged this place sports also family friendly restaurant with really good food burgers amazing appetizers tried good wings pizza good ranch dressing wish more options damn good place have some amazing classic american comfort food also they always orders right appreciate that,ONyDFp4eO9T_igeM2wdiMQ,ONyDFp4eO9T_igeM2wdiMQ,5,43113.23171296297,,0,0.4008184523809524,0.5680059523809524,0.013986013986013986,0.013986013986013986
2294,2,1,gCNCaqLNMxWKcKr1q4HM7g,stuck airport need something thats pizza burgers this place expensive decent salads that dont suck like most airports salads chicken caesar which fresh pretty generous they also have chinois salad which think arizonan chinese,Rl6-T4ys2Vq7t_bfyORiRw,Rl6-T4ys2Vq7t_bfyORiRw,3,40476.174791666665,ighhuf3rAKgKI2E-o9WDXA,1,0.016666666666666663,0.6166666666666666,-0.006993006993006993,-0.006993006993006993
2410,0,1,LfHL7XZR9yNgF7a2Jjk_GA,this place chain offers good variety large servings italian foods ranging from pizzas pastas salads burgers alfredo dark which southwestern twist using peppers with alfredo sauce which creamy smoky savory treat pizza comes with cracker like crust york style chicago style pizza this your taste went here with friends regulars joking with their server fast friendly chain restaurant they have casual vibe with lots photos wall booths they have outdoor seating with misters enjoy heat when comes italian food want avoid fast food feel other chains fancy costs swanky restaurants oreganos hits spot,dUffgo9Lh_Vk9TLuFR5ywg,dUffgo9Lh_Vk9TLuFR5ywg,4,41854.680138888885,Wg3lBj3gp0Vq5c85z4k0jw,0,0.11785714285714284,0.4058531746031746,-0.006993006993006993,-0.006993006993006993
2731,0,1,70x_9lhUVVFJxpsY3fsAhA,stopped here late sunday night some food driving wasnt expecting much sometimes dirtiest girl turn prize make mistake this dive through through from outdated everything inside hidden parking behind building that being said there were really things that stood short time there enclosed smoking area food smoking area patio connected roll garage door there cover ventilation that make feel like inside ventilation pulls smoke keeps from getting smoke smell throughout very cool those hate being relegated alley smoke under current smoking laws food here absolutely fantastic wings were both flavors honey pizza tasty made from very high quality ingredients thick hand tossed crust that crispy where counts light airy inside burgers also looked fresh artisan type buns friend said outstanding like dive bars worth look especially looking late night,x_bhc4U_e6lv7Dat2WV04w,x_bhc4U_e6lv7Dat2WV04w,4,42030.74309027778,3UOwOe9eFEUqFvpHYtPRUA,0,0.015596491228070167,0.5770350877192982,0.006993006993006993,0.006993006993006993
3014,2,3,NQBpPvcLGCRM22l7craJxw,what will they think next hippies franchises have been popping everywhere past year from tacos burgers pizza soon breakfest chance experience their pizza today amazing ordered thick crust surpreme when opened pizza remind self that only spent dollars carry only location everything from pizza wings subs chips their awesome fresh made lemonades also desert they have their awesome brownies they lunch deal pizza slice with small salad drink only friendly service thing keep mind cash only there inside,YDZRlB762hEebm2OyZISiQ,YDZRlB762hEebm2OyZISiQ,5,40065.64681712963,VJO_AQDv8SneUYGEn_8OAw,0,0.16964285714285715,0.6517857142857143,0.0,0.0
3044,0,0,GvjLBsMrE1s1cwVSePFVxA,pita jungle scottsdale fashion square mall quick healthy alternative burgers pizza always philly cheese steak pita which favorite pita holds very well with sliced steak peppers cheese this quite meal itself often turns into second meal daughter likes hummus that offered mall location busy there plenty seating they fairly quick will back here more,U_x3Ryer88VwUlqa71Np-g,U_x3Ryer88VwUlqa71Np-g,4,42032.110671296294,SRK_sUnvRmMwfexoL_DLQA,0,0.2740740740740741,0.39999999999999997,0.006993006993006993,0.006993006993006993
3046,4,4,UVo55Sozv7iHHQ2ZE2N7Zw,adore maiziesthis what cenpho about have nice interior that makes this nerd feel when weather permits freakin sweet patio watch light rails drive back forth without care world have great selection gourmet hamburgersepic saladseven pizzas mood food change whimand youve covered using great ingredients even when feeling cheap youre beyond grasp your happy hour amazing because never ever back applebees down street beers wines apps delicious like burgers monday that simple good thoroughly enjoyed hoegaarden your selection chardonnay bottle service also swift everyone nice lady friend agree have really cute staff good eats good view great menu stars,NPiLy71qqXzb45k9eQOgCQ,NPiLy71qqXzb45k9eQOgCQ,5,40922.940729166665,YpGt3hdq5adPlEFn9fQ2Zw,3,0.5047222222222222,0.6673015873015873,0.013986013986013986,0.1048951048951049
3107,0,0,3JWOpjz-5uNzvCxbx62Qkw,stopped into this restaurant after work because were looking dinner most other restaurants area were packed imagine dragons concert happening nearby little suspicious since other restaurants were crammed there barely anyone here getting hangry decided stop there live music outside which wasnt terrible menu confusing could burger pizza which expected grill they also surprising items like chicken biryani that sprinkled menu craving pizza thats what ordered while coworkers ordered burgers also appetizer sampler which pretty good hard mess fried food when pizza came after look longer hungry about slices done tasted maybe like lunchables pizza that microwaved coworker that ordered cheeseburger didnt finish commented that times didnt finish burger pretty only come here youre starving,vyDW7_CHhDUJshMqaSjj0g,vyDW7_CHhDUJshMqaSjj0g,2,43016.59042824074,JUQIaK-TgSnv8oPY7HgSjA,0,-0.017655723905723914,0.5537037037037037,0.0,0.0
