,Unnamed: 0,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
385,3215,1833 W Van Buren St,"{u'RestaurantsGoodForGroups': u'True', u'RestaurantsAttire': u''casual'', u'RestaurantsReservations': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'RestaurantsDelivery': u'False', u'RestaurantsTakeOut': u'True', u'GoodForKids': u'True'}",QCnT5MdeWrbZ2SjvDY4_cQ,"Fast Food, Burgers, Restaurants",Phoenix,"{u'Monday': u'0:0-0:0', u'Tuesday': u'0:0-0:0', u'Friday': u'0:0-0:0', u'Wednesday': u'0:0-0:0', u'Thursday': u'0:0-0:0', u'Sunday': u'0:0-0:0', u'Saturday': u'0:0-0:0'}",1,33.4510395,-112.0992886,Jack in the Box,85007.0,6,1.5,AZ
398,3370,2375 E Camelback Road,"{u'Alcohol': u''full_bar'', u'NoiseLevel': u'u'quiet'', u'RestaurantsAttire': u'u'casual'', u'RestaurantsReservations': u'True', u'OutdoorSeating': u'True', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'2', u'RestaurantsDelivery': u'False', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'True', u'BusinessParking': u'{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}'}",Z4BcYjHzz9qXCmhxT6k6nA,"Restaurants, Burgers, American (New)",Phoenix,"{u'Monday': u'11:0-21:0', u'Tuesday': u'11:0-21:0', u'Friday': u'11:0-0:0', u'Wednesday': u'11:0-21:0', u'Thursday': u'11:0-21:0', u'Saturday': u'17:0-2:0'}",0,33.5084591,-112.0307315,Oscar Taylor's,85016.0,7,3.5,AZ
466,3817,"288 E Greenway Pkwy, Ste 103","{u'GoodForMeal': u'{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}', u'Caters': u'True', u'HasTV': u'True', u'GoodForKids': u'False', u'NoiseLevel': u''average'', u'WiFi': u'u'free'', u'RestaurantsAttire': u'u'casual'', u'RestaurantsReservations': u'True', u'OutdoorSeating': u'True', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'2', u'BusinessAcceptsBitcoin': u'False', u'Music': u'{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}', u'RestaurantsTakeOut': u'True', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'Ambience': u'{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}', u'BestNights': u'{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}', u'RestaurantsGoodForGroups': u'True', u'Alcohol': u'u'full_bar''}",-JwSuDqyFILFJmVpjrVbwA,"Bars, Sports Bars, Restaurants, Nightlife, Sandwiches, American (New), Burgers",Phoenix,"{u'Monday': u'17:0-2:0', u'Tuesday': u'11:0-2:0', u'Friday': u'11:0-2:0', u'Wednesday': u'11:0-2:0', u'Thursday': u'11:0-2:0', u'Sunday': u'10:0-18:0', u'Saturday': u'11:0-2:0'}",1,33.6370139392,-112.070148099,Half Moon Sports Grill,85022.0,274,3.5,AZ
474,3865,2825 N Central Ave,"{u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}', u'Caters': u'False', u'HasTV': u'False', u'RestaurantsGoodForGroups': u'True', u'NoiseLevel': u'u'average'', u'WiFi': u'u'no'', u'RestaurantsAttire': u''casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'Ambience': u'{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}', u'RestaurantsTakeOut': u'True', u'GoodForKids': u'True', u'Alcohol': u''none'', u'BYOBCorkage': u''no''}",2FfZUyA82YhQCjWNiqDCzQ,"Burgers, Diners, Restaurants",Phoenix,"{u'Monday': u'8:0-19:0', u'Tuesday': u'8:0-19:0', u'Friday': u'8:0-19:0', u'Wednesday': u'8:0-19:0', u'Thursday': u'8:0-19:0', u'Saturday': u'10:0-14:0'}",1,33.4797007,-112.0732999,Lenny's Burger Shop,85012.0,228,3.5,AZ
495,4038,"9343 E Shea Blvd, Ste B135","{u'Alcohol': u'u'full_bar'', u'HasTV': u'True', u'NoiseLevel': u'u'average'', u'RestaurantsAttire': u'u'casual'', u'BusinessAcceptsCreditCards': u'True', u'Ambience': u'{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}', u'RestaurantsGoodForGroups': u'True', u'Caters': u'True', u'WiFi': u'u'free'', u'RestaurantsReservations': u'True', u'BusinessAcceptsBitcoin': u'False', u'RestaurantsTableService': u'True', u'RestaurantsTakeOut': u'True', u'GoodForKids': u'True', u'WheelchairAccessible': u'True', u'DogsAllowed': u'True', u'BikeParking': u'True', u'OutdoorSeating': u'True', u'RestaurantsPriceRange2': u'2', u'RestaurantsDelivery': u'False', u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}', u'DriveThru': u'False'}",EzNdXFIaUqU1SC75dJJKRw,"Event Planning & Services, American (New), Caterers, Seafood, Restaurants, American (Traditional), Burgers, Steakhouses, Food",Scottsdale,"{u'Monday': u'11:0-22:0', u'Tuesday': u'11:0-22:0', u'Friday': u'11:0-22:0', u'Wednesday': u'11:0-22:0', u'Thursday': u'11:0-22:0', u'Sunday': u'11:0-21:0', u'Saturday': u'11:0-0:0'}",0,33.5813336,-111.8795047,Black & Bleu American Grill,85260.0,138,3.5,AZ
552,4513,2805 W Agua Fria Fwy,"{u'BusinessParking': u'None', u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}', u'Alcohol': u''none'', u'HasTV': u'False', u'GoodForKids': u'True', u'NoiseLevel': u'u'average'', u'WiFi': u'u'no'', u'RestaurantsAttire': u''casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'True', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'2', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'Ambience': u'None', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'True', u'DriveThru': u'False', u'RestaurantsTableService': u'False'}",lKvNwcSr8l2iGigLonP-jw,"Restaurants, Burgers, American (Traditional), Diners",Phoenix,"{u'Monday': u'10:30-21:0', u'Tuesday': u'10:30-21:0', u'Friday': u'10:30-22:0', u'Wednesday': u'10:30-21:0', u'Thursday': u'10:30-21:0', u'Sunday': u'10:30-21:0', u'Saturday': u'10:30-22:0'}",1,33.667611164,-112.120407,Johnny Rockets,85027.0,46,2.5,AZ
555,4523,15435 Scottsdale Rd,"{u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}', u'Caters': u'False', u'HasTV': u'False', u'GoodForKids': u'True', u'NoiseLevel': u'u'average'', u'WiFi': u'u'no'', u'RestaurantsAttire': u'u'casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'True', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'Ambience': u'{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'True', u'DriveThru': u'False', u'Alcohol': u'u'none''}",rxjHvIvV_BlzKa8ftRUpGA,"Burgers, Sandwiches, Restaurants, Fast Food, American (New)",Scottsdale,"{u'Monday': u'11:0-22:0', u'Tuesday': u'11:0-22:0', u'Friday': u'11:0-22:0', u'Wednesday': u'11:0-22:0', u'Thursday': u'11:0-22:0', u'Sunday': u'11:0-22:0', u'Saturday': u'11:0-22:0'}",1,33.6266202305,-111.925024541,Five Guys,85260.0,121,3.5,AZ
569,4631,8941 North Black Canyon Hwy,"{u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}', u'Caters': u'True', u'HasTV': u'True', u'RestaurantsGoodForGroups': u'True', u'NoiseLevel': u'u'average'', u'WiFi': u'u'free'', u'RestaurantsAttire': u'u'casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'2', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'Ambience': u'{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}', u'RestaurantsTakeOut': u'True', u'GoodForKids': u'True', u'DriveThru': u'False', u'Alcohol': u'u'beer_and_wine''}",hI_WID6sP7EOgPeFFJPPwQ,"American (Traditional), Burgers, Restaurants",Phoenix,"{u'Monday': u'10:30-22:0', u'Tuesday': u'10:30-22:0', u'Friday': u'10:30-23:0', u'Wednesday': u'10:30-22:0', u'Thursday': u'10:30-22:0', u'Sunday': u'10:30-22:0', u'Saturday': u'10:30-23:0'}",1,33.5670886,-112.1163528,Fuddruckers,85021.0,114,3.5,AZ
571,4637,"1024 E Buckeye Rd, Ste 185","{u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}', u'HasTV': u'False', u'RestaurantsGoodForGroups': u'True', u'WiFi': u''free'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'2', u'Ambience': u'{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}', u'RestaurantsTakeOut': u'True', u'GoodForKids': u'True'}",xs4A6LDWSa1Sll63Ng8WuA,"Restaurants, Burgers, American (Traditional)",Phoenix,"{u'Monday': u'0:0-0:0', u'Tuesday': u'9:0-21:0', u'Friday': u'9:0-21:0', u'Wednesday': u'7:0-16:0', u'Thursday': u'9:0-21:0', u'Sunday': u'11:0-19:0', u'Saturday': u'11:0-20:0'}",1,33.4373226,-112.0595692,WTF Burgers,85034.0,17,4.0,AZ
579,4725,"1817 E Guadalupe Rd, Ste 102","{u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}', u'Alcohol': u'u'none'', u'Caters': u'False', u'HasTV': u'False', u'GoodForKids': u'True', u'NoiseLevel': u'u'average'', u'WiFi': u'u'no'', u'RestaurantsAttire': u'u'casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'True', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'Ambience': u'{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'True', u'DriveThru': u'False', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}'}",4yIOZXIYJiQlkqW_MUtVgQ,"Restaurants, Burgers",Tempe,"{u'Monday': u'0:0-0:0', u'Tuesday': u'10:30-22:0', u'Friday': u'10:30-22:0', u'Wednesday': u'10:30-22:0', u'Thursday': u'10:30-22:0', u'Sunday': u'10:30-22:0', u'Saturday': u'10:30-22:0'}",1,33.3628909681,-111.910665423,The Habit Burger Grill,85283.0,242,4.0,AZ
593,4820,3164 E McDowell Rd,"{u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}', u'HasTV': u'True', u'RestaurantsGoodForGroups': u'True', u'NoiseLevel': u'u'average'', u'RestaurantsReservations': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'2', u'BikeParking': u'True', u'Ambience': u'{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}', u'RestaurantsTakeOut': u'True', u'GoodForKids': u'True'}",qbZ0Hjp-lUMtkGS_R1UnpQ,"Fast Food, Restaurants, Burgers, Hot Dogs",Phoenix,,1,33.466085,-112.013243,Burger King,85008.0,14,2.0,AZ
633,5082,3455 W McDowell Rd,"{u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}', u'RestaurantsGoodForGroups': u'True', u'RestaurantsAttire': u''casual'', u'RestaurantsReservations': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'RestaurantsTakeOut': u'True', u'GoodForKids': u'True', u'DriveThru': u'True'}",1buqH6E5R2jPOrTQDF6sFQ,"Desserts, Burgers, Breakfast & Brunch, Food, Restaurants",Phoenix,,1,33.4656892,-112.134034,Jack-In-the Box,85009.0,5,2.0,AZ
634,5092,1 N First St,"{u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}', u'GoodForKids': u'True', u'RestaurantsAttire': u'u'casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'RestaurantsDelivery': u'False', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'False', u'Alcohol': u'u'none''}",LVF_M640eZdJN6wX12VrEQ,"Burgers, Restaurants, Fast Food",Phoenix,,0,33.448587,-112.072102,Burger King,85004.0,4,2.5,AZ
677,5401,515 W Warner Rd,"{u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}', u'HasTV': u'False', u'GoodForKids': u'True', u'RestaurantsAttire': u'u'casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'True'}",xJxfGReFZqZ1DDppESxMVA,"Fast Food, Burgers, Restaurants",Tempe,,1,33.3341677,-111.9466831,Wendy's,85284.0,11,1.5,AZ
795,6264,2955 N Hayden Rd,"{u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': True, 'breakfast': False}', u'Alcohol': u''none'', u'Caters': u'False', u'HasTV': u'False', u'RestaurantsGoodForGroups': u'True', u'NoiseLevel': u''average'', u'WiFi': u''no'', u'RestaurantsAttire': u''casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'BikeParking': u'False', u'RestaurantsDelivery': u'False', u'Ambience': u'{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}', u'RestaurantsTakeOut': u'True', u'GoodForKids': u'True', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}'}",YQGnEP2TysOi7WEfAH39cg,"Restaurants, American (Traditional), Burgers, Fast Food",Scottsdale,"{u'Monday': u'0:0-0:0', u'Tuesday': u'0:0-0:0', u'Friday': u'0:0-0:0', u'Wednesday': u'0:0-0:0', u'Thursday': u'0:0-0:0', u'Sunday': u'0:0-0:0', u'Saturday': u'0:0-0:0'}",1,33.4817065139,-111.908494726,Whataburger,85251.0,57,3.0,AZ
813,6361,5020 E Ray Rd,"{u'GoodForMeal': u'{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}', u'BusinessParking': u'{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}', u'Caters': u'False', u'HasTV': u'False', u'GoodForKids': u'True', u'NoiseLevel': u'u'average'', u'WiFi': u'u'free'', u'RestaurantsAttire': u''casual'', u'RestaurantsReservations': u'False', u'OutdoorSeating': u'False', u'BusinessAcceptsCreditCards': u'True', u'RestaurantsPriceRange2': u'1', u'BikeParking': u'True', u'RestaurantsDelivery': u'False', u'Ambience': u'{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}', u'RestaurantsTakeOut': u'True', u'RestaurantsGoodForGroups': u'True', u'DriveThru': u'False', u'Alcohol': u'u'none''}",Vp9TrF9P4ifIRAMcte-ycw,"Restaurants, Breakfast & Brunch, American (New), American (Traditional), Burgers",Phoenix,"{u'Monday': u'0:0-14:0', u'Tuesday': u'0:0-0:0', u'Friday': u'0:0-0:0', u'Wednesday': u'0:0-0:0', u'Thursday': u'0:0-14:0', u'Sunday': u'0:0-14:0', u'Saturday': u'0:0-0:0'}",1,33.3204,-111.9753046,IHOP,85044.0,96,3.0,AZ
